['PRP', 'VBD', 'DT', 'NNP']

me went every Blue 
them got A University 
they came All Union 
They decided another DUCKY 
it said the DoubleClick 
He appeared Some Mr 
She had no SOCIAL 
We was These Justice 
myself did any October 
I pulled That White 
It argued those Arrayed 
you were these Oct 
him turned No United 
itself phased an Daniel 
us lended all Google 
themselves manufactured a California 
she included The Gingrich 
we sounded both Berkeley 
You joined Both May 
he stopped some America 
